Offset Credits Cost Adjustment,Emission Reduction Cost Adjustment,Reforestation Cost Adjustment,T15Year,T15CO2,T15ForestSize,T20Year,T20CO2,T20ForestSize,ForestSize2050,CO2Concentration2050,Temperature2050,ForestSize2100,CO2Concentration2100,Temperature2100
1.0,0.15,0.35,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.3,0.55,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.6,0.6,2031.0,443.01567,40898076.832,2049.0,483.01249,42447151.91777,42577360.84109,485.02789,2.02408,50448242.20806,446.72793,1.55084
1.0,0.9,0.25,2031.0,443.01569,42991045.21991,2047.0,483.00098,48527675.21813,49871781.74759,489.76677,2.08046,81653723.06965,484.23019,2.01586
1.0,0.05,0.95,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.8,0.95,2031.0,443.01633,41284157.05351,2049.0,483.01006,43576107.02179,43820767.32981,485.64688,2.03148,56984172.97565,461.56288,1.73898
1.0,0.25,0.05,2031.0,443.01593,41998972.84758,2048.0,483.0033,45778991.71808,46639578.72232,488.96909,2.071,69121354.1268,478.02192,1.94164
1.0,0.15,0.75,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.3,0.15,2031.0,443.0167,40417988.95298,2049.0,483.01111,40937695.00954,40999508.20251,485.30685,2.02742,44522531.22698,450.55034,1.5999
1.0,0.3,0.6,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.4,0.05,2031.0,443.01594,42821576.0827,2047.0,483.00178,48208166.9142,49470755.11989,489.29144,2.07483,81195872.2767,499.03738,2.1895
1.0,1.0,0.15,2031.0,443.01405,43302647.23792,2047.0,482.99661,49318960.88929,51122876.48343,491.59948,2.10212,88010886.22959,537.70743,2.62033
1.0,0.85,0.45,2031.0,443.01785,42520703.35182,2049.0,483.01234,47595467.40075,47985534.71056,484.96055,2.02327,73682961.29156,460.20158,1.72194
1.0,0.3,0.1,2031.0,443.01798,41084406.09374,2050.0,483.01399,43294156.31394,43446298.14323,484.47893,2.01752,56946601.20185,443.1812,1.50495
1.0,0.9,1.0,2031.0,443.01639,41559630.55028,2049.0,483.00896,44525245.60584,44907513.9346,486.19433,2.03801,61324738.50342,469.02769,1.83142
1.0,0.25,0.45,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.95,0.2,2031.0,443.01409,43038451.06812,2047.0,483.00085,48631158.93373,50083694.57698,490.3126,2.08692,83752815.16904,518.40659,2.40931
1.0,0.95,0.5,2031.0,443.01676,42599640.53918,2049.0,483.01112,47731444.86403,48245213.1118,485.59678,2.03087,74087511.54575,472.10452,1.86903
1.0,0.9,0.65,2031.0,443.01711,42173511.25116,2049.0,483.01093,46445724.90882,46915820.41468,485.7639,2.03287,69238381.06706,465.78564,1.79145
1.0,0.35,0.5,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
1.0,0.15,0.3,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.3,0.65,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.15,0.05,2031.0,443.01495,40946080.32883,2047.0,482.99983,42808411.71641,43333921.36944,489.84788,2.08142,55835577.95099,471.26624,1.85965
1.0,0.4,0.75,2031.0,443.017,39806253.80441,2049.0,483.01094,38909561.63365,38832841.58993,485.65165,2.03153,36643798.35232,457.0534,1.68235
1.0,0.75,0.9,2031.0,443.01538,41105292.20892,2049.0,483.01017,43086899.9782,43312570.04795,485.78215,2.03309,54240945.75476,460.84604,1.73004
1.0,1.0,0.65,2031.0,443.01559,42237549.49175,2049.0,483.00776,46640212.41977,47253841.89994,486.59608,2.04279,71245681.5296,481.21081,1.97923
1.0,0.35,0.2,2031.0,443.01555,40543134.39581,2049.0,483.01182,41228240.62088,41288660.00771,485.04176,2.02425,45387176.705,448.29022,1.57092
1.0,0.4,0.9,2031.0,443.017,39806253.80441,2049.0,483.01094,38909561.63365,38832841.58993,485.65165,2.03153,36643798.35232,457.0534,1.68235
1.0,0.85,0.35,2031.0,443.01687,42647133.84886,2049.0,483.01324,48128146.90641,48535017.75571,484.86696,2.02215,76282871.58834,460.79211,1.72929
1.0,0.15,0.4,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.35,0.95,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
1.0,0.55,0.8,2031.0,443.01685,40028545.61915,2049.0,483.01154,39633771.48507,39605835.41616,485.38358,2.02833,40181285.04332,454.4644,1.64963
1.0,0.25,0.35,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.95,0.95,2031.0,443.01726,41612496.1732,2048.0,483.00881,44793157.14819,45273723.03256,486.82489,2.04552,63869216.36499,480.16088,1.96665
1.0,0.5,0.2,2031.0,443.01685,41676544.88755,2050.0,483.01521,45114065.64429,45240938.70625,483.90224,2.01061,64118617.93029,440.55613,1.47072
1.0,0.9,0.7,2031.0,443.01734,42064232.82979,2049.0,483.01037,46087351.68897,46544275.71353,485.86209,2.03404,67788175.5088,466.41891,1.79928
1.0,0.5,0.5,2031.0,443.0171,40112379.5791,2049.0,483.01141,39894716.56127,39881628.44381,485.18587,2.02597,41107146.48776,452.51325,1.62484
1.0,0.9,0.15,2031.0,443.01507,43287078.11104,2047.0,482.99893,49359162.1102,51066685.61082,490.91736,2.09407,87105863.4663,521.32319,2.44163
1.0,1.0,0.8,2031.0,443.01633,41937926.50865,2048.0,483.00834,45681613.25257,46269617.14432,487.05186,2.04822,68153418.54959,483.76068,2.00974
1.0,0.85,0.75,2031.0,443.0171,41644687.4846,2049.0,483.01059,44949968.43482,45323717.0,485.8282,2.03364,64783293.29153,464.33416,1.77347
1.0,0.45,0.7,2031.0,443.01731,39806253.80441,2049.0,483.01027,38909658.80352,38832841.58993,485.6548,2.03157,36643798.35232,457.09348,1.68285
1.0,1.0,0.25,2031.0,443.0162,43001319.41446,2047.0,482.99876,48488155.72505,49954972.41075,490.54908,2.08971,82907597.60549,512.08589,2.33854
1.0,0.65,0.1,2031.0,443.01559,43301941.82815,2047.0,483.00001,49459600.29082,50995528.41366,490.00866,2.08332,86514738.05749,497.30724,2.16968
1.0,0.1,0.9,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.4,0.35,2031.0,443.01639,39925389.94861,2049.0,483.01152,39261700.27631,39209844.61321,485.44381,2.02905,37685721.32166,455.40266,1.6615
1.0,0.3,0.25,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.15,0.45,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.2,0.95,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.5,0.85,2031.0,443.01619,39926254.66521,2049.0,483.01035,39286814.8481,39237685.92708,485.48635,2.02956,37832161.22036,455.85623,1.66723
1.0,0.65,0.6,2031.0,443.01698,41233219.37432,2049.0,483.01358,43568843.37919,43746353.02756,484.86211,2.0221,55885863.17621,448.62786,1.57529
1.0,0.9,0.55,2031.0,443.0169,42292457.27317,2049.0,483.0104,46917569.85719,47380932.65476,485.55872,2.03042,71854980.17488,465.69478,1.79032
1.0,0.25,0.75,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.6,0.05,2031.0,443.01513,43392648.80493,2047.0,482.9999,49701998.45823,51303061.69388,490.14961,2.08499,88951229.21776,529.96865,2.53645
1.0,0.1,0.15,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.65,0.05,2031.0,443.01405,43426796.60126,2047.0,483.00045,49785265.56945,51447356.56197,490.4039,2.088,89642236.59443,534.13331,2.58167
1.0,0.3,0.7,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.45,0.95,2031.0,443.01731,39806253.80441,2049.0,483.01027,38909658.80352,38832841.58993,485.6548,2.03157,36643798.35232,457.09348,1.68285
1.0,0.55,0.35,2031.0,443.01721,41502280.25938,2050.0,483.0148,44494769.27306,44615905.30363,484.00074,2.01179,58796395.2844,439.6477,1.45888
1.0,0.95,0.4,2031.0,443.01593,42794517.76779,2048.0,483.00829,48234605.63322,49009784.35434,486.74908,2.04462,77553689.7836,474.46154,1.89792
1.0,0.95,0.3,2031.0,443.01534,42938395.60506,2047.0,483.00006,48414270.54053,49731636.7816,489.44923,2.0767,80631310.44867,485.50453,2.03083
1.0,0.65,1.0,2031.0,443.01734,40420857.78781,2049.0,483.01168,40768451.64077,40803178.64056,485.42025,2.02877,43166509.20285,456.80945,1.67926
1.0,0.6,0.7,2031.0,443.01757,40845084.47423,2049.0,483.01279,42085812.98973,42160665.81983,484.64461,2.0195,47312559.82161,447.48835,1.56051
1.0,0.65,0.45,2031.0,443.01769,41681814.95265,2050.0,483.015,45150189.52073,45328970.14813,484.24465,2.01471,62616964.40163,445.83237,1.53923
1.0,0.1,0.55,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.6,0.45,2031.0,443.01678,41445261.31599,2050.0,483.01454,44218523.43217,44357777.63178,484.23966,2.01465,57970000.53753,443.35465,1.5072
1.0,0.55,0.75,2031.0,443.01689,40063631.50479,2049.0,483.01093,39800298.18138,39784564.36157,485.29652,2.02729,40923584.9744,453.55663,1.63811
1.0,0.95,1.0,2031.0,443.01612,41557153.76032,2048.0,483.00774,44615484.98159,45118280.42268,486.94947,2.047,63327911.70512,480.49206,1.97064
1.0,0.5,0.7,2031.0,443.01598,39986227.14901,2049.0,483.01092,39499289.86511,39464500.60471,485.41172,2.02867,38777301.27114,454.7857,1.65369
1.0,0.9,0.2,2031.0,443.01661,43042107.74161,2047.0,483.00085,48677536.64928,50081985.64241,489.9774,2.08295,83414559.31571,503.14876,2.237
1.0,0.25,0.65,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.9,0.5,2031.0,443.01547,42447127.35312,2049.0,483.01221,47350850.50444,47794850.5223,485.3185,2.02755,73032939.34444,465.3152,1.7856
1.0,0.9,0.45,2031.0,443.01671,42559766.44952,2049.0,483.01302,47753940.60061,48199893.91433,485.18826,2.026,74732730.3581,464.66341,1.7775
1.0,0.3,0.35,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.15,0.55,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.4,0.25,2031.0,443.01735,40587004.404,2049.0,483.01251,41377261.92496,41443574.47656,484.94224,2.02306,46167788.45377,447.02228,1.55462
1.0,0.5,0.95,2031.0,443.01679,39806353.23202,2049.0,483.01029,38910824.84187,38832841.58993,485.70209,2.03214,36643798.35232,457.69376,1.69041
1.0,0.2,0.85,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.15,0.6,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,1.0,0.35,2031.0,443.01544,42890439.88173,2048.0,483.00498,48398798.85371,49436365.51675,488.00489,2.05956,79543774.11047,488.63857,2.06775
1.0,0.8,0.9,2031.0,443.01693,41432044.98167,2049.0,483.01184,44090903.12279,44352502.28894,485.48167,2.0295,58241895.21726,460.28987,1.72305
1.0,0.35,0.7,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
1.0,0.85,0.65,2031.0,443.01648,41938620.87783,2049.0,483.01231,45910638.35975,46302921.17586,485.42436,2.02882,67194989.97114,462.05875,1.74514
1.0,0.15,0.1,2031.0,443.01523,40122027.7695,2049.0,483.01001,39963646.71904,39967409.23492,485.7203,2.03235,40578481.29653,453.40202,1.63622
1.0,0.9,0.05,2031.0,443.01608,43470491.09643,2047.0,482.99767,49816570.16268,51657673.0675,491.3351,2.099,90784996.03567,548.78019,2.73803
1.0,0.25,0.25,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.95,0.85,2031.0,443.01704,41881561.47016,2048.0,483.00735,45487712.17343,46012714.88595,486.66685,2.04364,66127637.12274,478.15802,1.94254
1.0,0.45,0.2,2031.0,443.01635,41381473.20758,2050.0,483.01435,44142466.08981,44281295.17883,484.19196,2.01408,58581625.85003,441.10175,1.47788
1.0,0.85,0.25,2031.0,443.01601,42955355.44342,2048.0,483.00368,48542330.25408,49697288.20524,488.42127,2.06451,80364251.19276,470.43291,1.84903
1.0,0.35,0.85,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
1.0,1.0,0.75,2031.0,443.01639,41989046.91707,2048.0,483.00688,45872857.11801,46474145.15678,487.00078,2.04761,69059600.65182,483.11181,2.002
1.0,0.65,0.4,2031.0,443.01703,41770088.93476,2050.0,483.01507,45483637.91315,45662140.66842,484.1785,2.01392,64072270.82702,445.8587,1.53956
1.0,0.25,0.8,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.45,0.5,2031.0,443.01643,39986092.65656,2049.0,483.01057,39471363.79572,39433236.75923,485.35209,2.02796,38525062.3732,454.30595,1.64761
1.0,0.65,0.3,2031.0,443.01752,42313465.0216,2050.0,483.01578,47079803.11401,47193183.59364,483.6026,2.00702,69280925.94628,442.82037,1.50015
1.0,0.4,0.65,2031.0,443.017,39806253.80441,2049.0,483.01094,38909561.63365,38832841.58993,485.65165,2.03153,36643798.35232,457.0534,1.68235
1.0,0.3,0.75,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.15,0.15,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.05,0.9,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.95,0.1,2031.0,443.01513,43400755.7342,2047.0,482.99755,49598032.26683,51419984.80326,491.46191,2.1005,89637548.28226,546.01125,2.70886
1.0,0.2,0.9,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.55,0.65,2031.0,443.01712,40178086.57683,2049.0,483.01134,40192278.39634,40209413.91658,485.12577,2.02525,42011840.71844,451.83787,1.61623
1.0,0.95,0.6,2031.0,443.01729,42268679.87287,2049.0,483.00951,46760443.83794,47295425.79099,486.07784,2.03662,71458391.59682,474.63309,1.89987
1.0,0.65,0.55,2031.0,443.01635,41247046.30615,2049.0,483.01339,43640802.54662,43821497.35692,484.82886,2.0217,57206535.70603,449.36106,1.58469
1.0,0.3,0.5,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.6,0.55,2031.0,443.01792,41148057.75907,2049.0,483.01317,43187333.00328,43319850.99342,484.61213,2.01911,53484003.29188,444.25729,1.51893
1.0,0.1,0.45,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.3,0.2,2031.0,443.01523,40122027.7695,2049.0,483.01127,39922973.18545,39910676.86636,485.56196,2.03047,39754475.95981,453.12085,1.6326
1.0,0.15,1.0,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.85,0.9,2031.0,443.01647,41513639.84185,2049.0,483.00957,44383584.00074,44720322.59514,485.90046,2.0345,60791555.2181,465.65458,1.78982
1.0,0.55,0.25,2031.0,443.01711,41676404.62077,2050.0,483.01516,45147427.89583,45288007.6738,483.94831,2.01116,64476475.5941,441.17842,1.47884
1.0,0.7,0.9,2031.0,443.01529,40864540.78562,2049.0,483.01107,42285067.0013,42449451.50673,485.75399,2.03275,50110801.7498,457.65648,1.69001
1.0,0.45,0.85,2031.0,443.01731,39806253.80441,2049.0,483.01027,38909658.80352,38832841.58993,485.6548,2.03157,36643798.35232,457.09348,1.68285
1.0,0.6,0.2,2031.0,443.0168,42496698.08344,2050.0,483.0157,47698074.86827,47823522.33909,483.61036,2.00711,71923779.9437,440.05241,1.46412
1.0,0.1,0.05,2031.0,443.01526,40846975.76931,2047.0,483.0008,42323936.65171,42740032.70298,489.67111,2.07933,52975677.33331,464.33719,1.77425
1.0,0.6,0.15,2031.0,443.01496,42673203.51367,2048.0,483.00689,47882862.42382,48712874.42247,487.06996,2.04844,76302853.391,449.15469,1.58241
1.0,0.6,0.5,2031.0,443.01769,41269532.56575,2050.0,483.01417,43708281.97387,43854479.06396,484.48946,2.01764,55512272.80105,443.75655,1.51244
1.0,0.65,0.15,2031.0,443.01657,42785917.51563,2048.0,483.00401,48196074.79536,49319221.63478,488.42969,2.0646,79714619.11356,460.73034,1.72921
1.0,0.55,0.55,2031.0,443.01539,40670966.49512,2049.0,483.01363,41744623.87629,41812195.6042,484.69215,2.02007,46283160.81586,446.01675,1.54156
1.0,0.05,0.8,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.45,0.4,2031.0,443.01748,40169843.67168,2049.0,483.01138,40014739.72254,40007491.69435,485.05065,2.02436,41038720.14488,451.55045,1.61257
1.0,0.65,0.2,2031.0,443.01696,42665715.29713,2050.0,483.01649,48181062.50263,48366866.4727,483.85291,2.01002,74532945.76649,445.26912,1.53199
1.0,0.1,0.75,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.25,0.9,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.6,0.65,2031.0,443.01567,40898076.832,2049.0,483.01284,42409233.15793,42524679.42313,484.93776,2.02301,49023617.64443,446.52353,1.54814
1.0,0.45,0.3,2031.0,443.01759,40827575.02344,2049.0,483.01278,42284391.56216,42384448.95609,484.59468,2.0189,49344871.65396,443.49838,1.50905
1.0,0.65,0.5,2031.0,443.01768,41535605.50974,2050.0,483.01448,44597977.7555,44777668.42942,484.44207,2.01708,60173182.2293,446.89793,1.553
1.0,0.65,0.65,2031.0,443.01698,41233219.37432,2049.0,483.01334,43459409.56939,43616670.11144,484.80962,2.02147,54399486.54662,448.34244,1.57162
1.0,0.55,0.15,2031.0,443.01693,42465176.62648,2050.0,483.01436,47564489.03197,47819555.62486,484.2294,2.01454,72129056.88015,440.03313,1.46396
1.0,0.5,0.1,2031.0,443.01517,42494959.04484,2048.0,483.00789,47401208.19446,48195811.61059,487.25151,2.0506,75281784.13151,459.73639,1.71679
1.0,0.9,0.4,2031.0,443.01596,42750976.40877,2049.0,483.01152,48294185.79947,48776526.47345,485.22503,2.02644,76233533.12846,463.88356,1.76782
1.0,0.75,0.85,2031.0,443.01524,41105045.75336,2049.0,483.00956,43139436.29209,43376940.17098,485.77323,2.03298,55059749.72024,461.15011,1.73384
1.0,0.9,0.3,2031.0,443.01603,42919803.79365,2049.0,483.00973,48683975.86275,49371753.29616,486.14016,2.03736,79115076.29106,470.17258,1.8456
1.0,0.5,0.6,2031.0,443.0154,40028521.29203,2049.0,483.01087,39632356.04707,39606460.42457,485.34007,2.02781,39853785.39925,454.02149,1.64401
1.0,0.65,0.25,2031.0,443.01688,42533265.04842,2050.0,483.01567,47738070.58818,47921718.07373,483.89044,2.01047,72345875.58776,442.76379,1.49948
